1.08208	0.00234619
1.53097	0.00572169
1.87163	0.00789599
2.15106	0.00906434
2.40579	0.0113497
2.62775	0.0136655
2.84698	0.0159575
3.02983	0.0180482
3.22804	0.0191228
3.38492	0.0191916
3.55253	0.0211878
3.71812	0.0225352
3.86515	0.0226425
4.00059	0.0238033
4.13137	0.0244036
4.25751	0.0241584
4.40043	0.0246626
4.52139	0.0267082
4.64994	0.0275318
4.77953	0.0271964
4.90373	0.0260762
5.01886	0.0270024
5.1293	0.0279413
5.25315	0.027511
5.36221	0.028895
5.47336	0.0281415
5.59185	0.0282907
5.70524	0.0291645
5.79594	0.0298298
5.89685	0.0307799
5.98862	0.0330754
6.09071	0.032901
6.18283	0.0336407
6.25963	0.0337671
6.35824	0.0336224
6.44464	0.0332754
6.52262	0.0331718
6.61562	0.0330479
6.69135	0.033857
6.77809	0.0339032
6.87398	0.0337376
6.96715	0.0353041
7.05188	0.0350581
7.1322	0.0359071
7.21326	0.0368623
7.29222	0.0378093
7.36859	0.037823
7.45009	0.0378316
7.5378	0.0381329
7.61362	0.0379902
7.69687	0.0389483
7.76851	0.0373295
7.84909	0.0381987
7.92017	0.0391564
7.99216	0.0399658
8.06716	0.0404464
8.1446	0.042531
8.22222	0.0426434
8.29954	0.0431266
8.36517	0.0429436
8.42933	0.0448596
8.50845	0.0464367
8.58022	0.0482708
8.64327	0.0473926
8.69644	0.0460174
8.76439	0.0463075
8.82311	0.0481232
8.89769	0.0488515
8.9746	0.0485686
9.0399	0.0480837
9.10732	0.0478396
9.1699	0.0480273
9.22748	0.0463289
9.28835	0.0483138
9.34647	0.0488891
9.39248	0.0491646
9.44047	0.0494373
9.51551	0.0500984
9.58067	0.0490533
9.63134	0.0493707
9.68691	0.0499206
9.73652	0.0497567
9.78888	0.0499015
9.85202	0.0500256
9.91315	0.0506518
9.96302	0.0504805
10.016	0.0506834
10.0755	0.0511905
10.1393	0.0524247
10.2047	0.0536428
10.2618	0.0535742
10.3138	0.0545194
10.3763	0.0547301
10.452	0.0549769
10.495	0.0555646
10.5621	0.0571814
10.6214	0.0584455
10.6842	0.0591443
10.7371	0.0585327
10.7865	0.0590482
